"Date","Price","Open","High","Low","Change %"
"02/23/2011","120.03","120.03","120.03","120.03","0.95%"
"02/22/2011","118.90","118.90","118.90","118.90","3.62%"
"02/21/2011","114.74","114.74","114.74","114.74","0.05%"
"02/18/2011","114.68","114.68","114.68","114.68","-0.43%"
"02/17/2011","115.18","115.18","115.18","115.18","-2.53%"
"02/16/2011","118.16","118.16","118.16","118.16","-1.35%"
"02/15/2011","119.78","119.78","119.78","119.78","-2.94%"
"02/14/2011","123.41","123.41","123.41","123.41","1.62%"
"02/11/2011","121.44","121.44","121.44","121.44","1.67%"
"02/10/2011","119.44","119.44","119.44","119.44","0.69%"
"02/09/2011","118.62","118.62","118.62","118.62","3.48%"
"02/08/2011","114.63","114.63","114.63","114.63","1.17%"
"02/07/2011","113.30","113.30","113.30","113.30","-0.02%"
"02/04/2011","113.32","113.32","113.32","113.32","-1.17%"
"02/03/2011","114.66","114.66","114.66","114.66","-0.01%"
"02/02/2011","114.68","114.68","114.68","114.68","-0.30%"
"02/01/2011","115.02","115.02","115.02","115.02","-2.82%"
"01/31/2011","118.36","118.36","118.36","118.36","-2.09%"
"01/28/2011","120.88","120.88","120.88","120.88","9.18%"
"01/27/2011","110.72","110.72","110.72","110.72","0.90%"
"01/26/2011","109.73","109.73","109.73","109.73","0.15%"
"01/25/2011","109.57","109.57","109.57","109.57","1.28%"
"01/24/2011","108.19","108.19","108.19","108.19","-0.33%"
"01/21/2011","108.54","108.54","108.54","108.54","-1.52%"
"01/20/2011","110.21","110.21","110.21","110.21","0.91%"
"01/19/2011","109.22","109.22","109.22","109.22","3.19%"
"01/18/2011","105.84","105.84","105.84","105.84","-1.19%"
"01/17/2011","107.12","107.12","107.12","107.12","0.04%"
"01/14/2011","107.08","107.08","107.08","107.08","-0.01%"
"01/13/2011","107.09","107.09","107.09","107.09","0.62%"
"01/12/2011","106.43","106.43","106.43","106.43","-2.30%"
"01/11/2011","108.93","108.93","108.93","108.93","-2.97%"
"01/10/2011","112.27","112.27","112.27","112.27","1.80%"
